,sex,age,dorm_select,college_of,personality,weekend_stay,weekday_stay,smoke,alchol,m_how_eat,how_eat_in,wake_up,m_sleep,sleep_sensitive,sleep_habit,clean_period,shower_timezone
0,1,4,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1
1,2,1,2,4,1,2,2,1,2,1,2,1,2,1,1,2,2
2,2,4,1,5,2,2,1,1,1,1,2,1,2,1,3,2,2
3,1,5,2,7,2,2,2,1,1,2,2,2,2,1,1,2,2
4,1,5,1,11,2,1,1,1,1,1,2,3,3,1,1,2,1
5,2,1,2,11,1,2,1,1,1,1,2,3,2,1,2,3,2
6,1,1,1,2,2,1,2,1,2,3,2,2,2,1,3,2,1
7,2,4,2,7,2,2,1,1,2,1,2,1,3,1,1,1,2
8,2,5,1,5,2,1,1,1,2,2,2,2,3,1,1,1,2
